Drug 1,Drug 2,Interaction Description,severity,desc_len
Chloroquine,Torasemide,Chloroquine may decrease the diuretic activities of Torasemide.,Moderada,63
Celecoxib,Torasemide,Celecoxib may decrease the diuretic activities of Torasemide.,Moderada,61
Olopatadine,Torasemide,Olopatadine may decrease the diuretic activities of Torasemide.,Moderada,63
Thioridazine,Torasemide,The risk or severity of adverse effects can be increased when Thioridazine is combined with Torasemide.,Moderada,103
Methadone,Torasemide,The risk or severity of adverse effects can be increased when Methadone is combined with Torasemide.,Moderada,100
Cyclosporine,Torasemide,The risk or severity of adverse effects can be increased when Cyclosporine is combined with Torasemide.,Moderada,103
Clozapine,Torasemide,The risk or severity of adverse effects can be increased when Clozapine is combined with Torasemide.,Moderada,100
Chlorpromazine,Torasemide,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Torasemide.,Moderada,105
Aprepitant,Torasemide,The metabolism of Torasemide can be increased when combined with Aprepitant.,Moderada,76
Secobarbital,Torasemide,The metabolism of Torasemide can be increased when combined with Secobarbital.,Moderada,78
Tranylcypromine,Torasemide,Tranylcypromine may increase the hypotensive activities of Torasemide.,Moderada,70
Sildenafil,Torasemide,Sildenafil may increase the antihypertensive activities of Torasemide.,Moderada,70
Imipramine,Torasemide,The risk or severity of adverse effects can be increased when Imipramine is combined with Torasemide.,Moderada,101
Ropinirole,Torasemide,The risk or severity of adverse effects can be increased when Ropinirole is combined with Torasemide.,Moderada,101
Clomipramine,Torasemide,The risk or severity of adverse effects can be increased when Clomipramine is combined with Torasemide.,Moderada,103
Aripiprazole,Torasemide,Aripiprazole may increase the hypotensive activities of Torasemide.,Moderada,67
Morphine,Torasemide,The risk or severity of adverse effects can be increased when Morphine is combined with Torasemide.,Moderada,99
Phenytoin,Etacrynic acid,Phenytoin may decrease the diuretic activities of Etacrynic acid.,Moderada,65
Fosphenytoin,Etacrynic acid,Fosphenytoin may decrease the diuretic activities of Etacrynic acid.,Moderada,68
Primidone,Etacrynic acid,Primidone may increase the hypotensive activities of Etacrynic acid.,Moderada,68
Phenobarbital,Etacrynic acid,Phenobarbital may increase the hypotensive activities of Etacrynic acid.,Moderada,72
Pentobarbital,Etacrynic acid,Pentobarbital may increase the hypotensive activities of Etacrynic acid.,Moderada,72
Bortezomib,Etacrynic acid,The risk or severity of adverse effects can be increased when Bortezomib is combined with Etacrynic acid.,Moderada,105
Betaxolol,Etacrynic acid,The risk or severity of adverse effects can be increased when Betaxolol is combined with Etacrynic acid.,Moderada,104
Oxprenolol,Etacrynic acid,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Etacrynic acid.,Moderada,105
Metoprolol,Etacrynic acid,The risk or severity of adverse effects can be increased when Metoprolol is combined with Etacrynic acid.,Moderada,105
Indapamide,Etacrynic acid,The risk or severity of adverse effects can be increased when Indapamide is combined with Etacrynic acid.,Moderada,105
Conivaptan,Etacrynic acid,The risk or severity of adverse effects can be increased when Conivaptan is combined with Etacrynic acid.,Moderada,105
Diltiazem,Etacrynic acid,The risk or severity of adverse effects can be increased when Diltiazem is combined with Etacrynic acid.,Moderada,104
Verapamil,Etacrynic acid,The risk or severity of adverse effects can be increased when Verapamil is combined with Etacrynic acid.,Moderada,104
Azelastine,Etacrynic acid,Azelastine may decrease the diuretic activities of Etacrynic acid.,Moderada,66
Bromocriptine,Etacrynic acid,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Etacrynic acid.,Moderada,108
Chloroquine,Etacrynic acid,Chloroquine may decrease the diuretic activities of Etacrynic acid.,Moderada,67
Celecoxib,Etacrynic acid,Celecoxib may decrease the diuretic activities of Etacrynic acid.,Moderada,65
Olopatadine,Etacrynic acid,Olopatadine may decrease the diuretic activities of Etacrynic acid.,Moderada,67
Amiodarone,Etacrynic acid,The risk or severity of adverse effects can be increased when Amiodarone is combined with Etacrynic acid.,Moderada,105
Thioridazine,Etacrynic acid,The risk or severity of adverse effects can be increased when Thioridazine is combined with Etacrynic acid.,Moderada,107
Methadone,Etacrynic acid,The risk or severity of adverse effects can be increased when Methadone is combined with Etacrynic acid.,Moderada,104
Cyclosporine,Etacrynic acid,The risk or severity of adverse effects can be increased when Cyclosporine is combined with Etacrynic acid.,Moderada,107
Clozapine,Etacrynic acid,The risk or severity of adverse effects can be increased when Clozapine is combined with Etacrynic acid.,Moderada,104
Chlorpromazine,Etacrynic acid,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Etacrynic acid.,Moderada,109
Secobarbital,Etacrynic acid,Secobarbital may increase the hypotensive activities of Etacrynic acid.,Moderada,71
Tranylcypromine,Etacrynic acid,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Etacrynic acid.,Moderada,110
Imipramine,Etacrynic acid,The risk or severity of adverse effects can be increased when Imipramine is combined with Etacrynic acid.,Moderada,105
Ropinirole,Etacrynic acid,The risk or severity of adverse effects can be increased when Ropinirole is combined with Etacrynic acid.,Moderada,105
Clomipramine,Etacrynic acid,The risk or severity of adverse effects can be increased when Clomipramine is combined with Etacrynic acid.,Moderada,107
Aripiprazole,Etacrynic acid,Aripiprazole may increase the hypotensive activities of Etacrynic acid.,Moderada,71
Morphine,Etacrynic acid,The risk or severity of adverse effects can be increased when Morphine is combined with Etacrynic acid.,Moderada,103
Isradipine,Etacrynic acid,The risk or severity of adverse effects can be increased when Isradipine is combined with Etacrynic acid.,Moderada,105
Nicardipine,Etacrynic acid,The risk or severity of adverse effects can be increased when Nicardipine is combined with Etacrynic acid.,Moderada,106
Losartan,Etacrynic acid,The risk or severity of adverse effects can be increased when Losartan is combined with Etacrynic acid.,Moderada,103
Phenytoin,Furosemide,Phenytoin may decrease the diuretic activities of Furosemide.,Moderada,61
Fosphenytoin,Furosemide,Fosphenytoin may decrease the diuretic activities of Furosemide.,Moderada,64
Primidone,Furosemide,Primidone may increase the hypotensive activities of Furosemide.,Moderada,64
Phenobarbital,Furosemide,Phenobarbital may increase the hypotensive activities of Furosemide.,Moderada,68
Pentobarbital,Furosemide,Pentobarbital may increase the hypotensive activities of Furosemide.,Moderada,68
Bortezomib,Furosemide,The risk or severity of adverse effects can be increased when Bortezomib is combined with Furosemide.,Moderada,101
Betaxolol,Furosemide,The risk or severity of adverse effects can be increased when Betaxolol is combined with Furosemide.,Moderada,100
Oxprenolol,Furosemide,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Furosemide.,Moderada,101
Metoprolol,Furosemide,The risk or severity of adverse effects can be increased when Metoprolol is combined with Furosemide.,Moderada,101
Conivaptan,Furosemide,The risk or severity of adverse effects can be increased when Conivaptan is combined with Furosemide.,Moderada,101
Diltiazem,Furosemide,The risk or severity of adverse effects can be increased when Diltiazem is combined with Furosemide.,Moderada,100
Verapamil,Furosemide,The risk or severity of adverse effects can be increased when Verapamil is combined with Furosemide.,Moderada,100
Azelastine,Furosemide,Azelastine may decrease the diuretic activities of Furosemide.,Moderada,62
Bromocriptine,Furosemide,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Furosemide.,Moderada,104
Chloroquine,Furosemide,Chloroquine may decrease the diuretic activities of Furosemide.,Moderada,63
Celecoxib,Furosemide,Celecoxib may decrease the diuretic activities of Furosemide.,Moderada,61
Olopatadine,Furosemide,Olopatadine may decrease the diuretic activities of Furosemide.,Moderada,63
Amiodarone,Furosemide,The risk or severity of adverse effects can be increased when Amiodarone is combined with Furosemide.,Moderada,101
Thioridazine,Furosemide,The risk or severity of adverse effects can be increased when Thioridazine is combined with Furosemide.,Moderada,103
Methadone,Furosemide,The risk or severity of adverse effects can be increased when Methadone is combined with Furosemide.,Moderada,100
Cyclosporine,Furosemide,The risk or severity of adverse effects can be increased when Cyclosporine is combined with Furosemide.,Moderada,103
Clozapine,Furosemide,The risk or severity of adverse effects can be increased when Clozapine is combined with Furosemide.,Moderada,100
Chlorpromazine,Furosemide,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Furosemide.,Moderada,105
Secobarbital,Furosemide,Secobarbital may increase the hypotensive activities of Furosemide.,Moderada,67
Tranylcypromine,Furosemide,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Furosemide.,Moderada,106
Imipramine,Furosemide,The risk or severity of adverse effects can be increased when Imipramine is combined with Furosemide.,Moderada,101
Ropinirole,Furosemide,The risk or severity of adverse effects can be increased when Ropinirole is combined with Furosemide.,Moderada,101
Clomipramine,Furosemide,The risk or severity of adverse effects can be increased when Clomipramine is combined with Furosemide.,Moderada,103
Aripiprazole,Furosemide,Aripiprazole may increase the hypotensive activities of Furosemide.,Moderada,67
Morphine,Furosemide,The risk or severity of adverse effects can be increased when Morphine is combined with Furosemide.,Moderada,99
Isradipine,Furosemide,The risk or severity of adverse effects can be increased when Isradipine is combined with Furosemide.,Moderada,101
Nicardipine,Furosemide,The risk or severity of adverse effects can be increased when Nicardipine is combined with Furosemide.,Moderada,102
Losartan,Furosemide,The risk or severity of adverse effects can be increased when Losartan is combined with Furosemide.,Moderada,99
Phenytoin,Bumetanide,Phenytoin may decrease the diuretic activities of Bumetanide.,Moderada,61
Fosphenytoin,Bumetanide,Fosphenytoin may decrease the diuretic activities of Bumetanide.,Moderada,64
Primidone,Bumetanide,Primidone may increase the hypotensive activities of Bumetanide.,Moderada,64
Phenobarbital,Bumetanide,Phenobarbital may increase the hypotensive activities of Bumetanide.,Moderada,68
Pentobarbital,Bumetanide,Pentobarbital may increase the hypotensive activities of Bumetanide.,Moderada,68
Bortezomib,Bumetanide,The risk or severity of adverse effects can be increased when Bortezomib is combined with Bumetanide.,Moderada,101
Betaxolol,Bumetanide,The risk or severity of adverse effects can be increased when Betaxolol is combined with Bumetanide.,Moderada,100
Oxprenolol,Bumetanide,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Bumetanide.,Moderada,101
Metoprolol,Bumetanide,The risk or severity of adverse effects can be increased when Metoprolol is combined with Bumetanide.,Moderada,101
Indapamide,Bumetanide,The risk or severity of adverse effects can be increased when Indapamide is combined with Bumetanide.,Moderada,101
Conivaptan,Bumetanide,The risk or severity of adverse effects can be increased when Conivaptan is combined with Bumetanide.,Moderada,101
Diltiazem,Bumetanide,The risk or severity of adverse effects can be increased when Diltiazem is combined with Bumetanide.,Moderada,100
Verapamil,Bumetanide,The risk or severity of adverse effects can be increased when Verapamil is combined with Bumetanide.,Moderada,100
Azelastine,Bumetanide,Azelastine may decrease the diuretic activities of Bumetanide.,Moderada,62
Bromocriptine,Bumetanide,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Bumetanide.,Moderada,104
Chloroquine,Bumetanide,Chloroquine may decrease the diuretic activities of Bumetanide.,Moderada,63
Celecoxib,Bumetanide,Celecoxib may decrease the diuretic activities of Bumetanide.,Moderada,61
Olopatadine,Bumetanide,Olopatadine may decrease the diuretic activities of Bumetanide.,Moderada,63
Amiodarone,Bumetanide,The risk or severity of adverse effects can be increased when Amiodarone is combined with Bumetanide.,Moderada,101
Thioridazine,Bumetanide,The risk or severity of adverse effects can be increased when Thioridazine is combined with Bumetanide.,Moderada,103
Methadone,Bumetanide,The risk or severity of adverse effects can be increased when Methadone is combined with Bumetanide.,Moderada,100
Cyclosporine,Bumetanide,The risk or severity of adverse effects can be increased when Cyclosporine is combined with Bumetanide.,Moderada,103
Clozapine,Bumetanide,The risk or severity of adverse effects can be increased when Clozapine is combined with Bumetanide.,Moderada,100
Chlorpromazine,Bumetanide,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Bumetanide.,Moderada,105
Secobarbital,Bumetanide,Secobarbital may increase the hypotensive activities of Bumetanide.,Moderada,67
Tranylcypromine,Bumetanide,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Bumetanide.,Moderada,106
Imipramine,Bumetanide,The risk or severity of adverse effects can be increased when Imipramine is combined with Bumetanide.,Moderada,101
Ropinirole,Bumetanide,The risk or severity of adverse effects can be increased when Ropinirole is combined with Bumetanide.,Moderada,101
Clomipramine,Bumetanide,The risk or severity of adverse effects can be increased when Clomipramine is combined with Bumetanide.,Moderada,103
Aripiprazole,Bumetanide,Aripiprazole may increase the hypotensive activities of Bumetanide.,Moderada,67
Morphine,Bumetanide,The risk or severity of adverse effects can be increased when Morphine is combined with Bumetanide.,Moderada,99
Isradipine,Bumetanide,The risk or severity of adverse effects can be increased when Isradipine is combined with Bumetanide.,Moderada,101
Nicardipine,Bumetanide,The risk or severity of adverse effects can be increased when Nicardipine is combined with Bumetanide.,Moderada,102
Losartan,Bumetanide,The risk or severity of adverse effects can be increased when Losartan is combined with Bumetanide.,Moderada,99
Azelastine,Clodronic acid,The risk or severity of adverse effects can be increased when Azelastine is combined with Clodronic acid.,Moderada,105
Chloroquine,Clodronic acid,The risk or severity of adverse effects can be increased when Chloroquine is combined with Clodronic acid.,Moderada,106
Celecoxib,Clodronic acid,The risk or severity of adverse effects can be increased when Celecoxib is combined with Clodronic acid.,Moderada,104
Olopatadine,Clodronic acid,The risk or severity of adverse effects can be increased when Olopatadine is combined with Clodronic acid.,Moderada,106
Betaxolol,Benzydamine,Betaxolol may decrease the antihypertensive activities of Benzydamine.,Moderada,70
Oxprenolol,Benzydamine,Oxprenolol may decrease the antihypertensive activities of Benzydamine.,Moderada,71
